                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.72814,                0.46328,                0.81174,                 0.9245,                0.74067,                0.84141,                0.69867,                0.54236,                0.36298,                0.81053,               0.006997,               0.006997,               0.006997
                     93,                0.72223,                0.46247,                0.81273,                0.91576,                0.75418,                0.84422,                0.69514,                0.54482,                0.36355,                0.80983,               0.006964,               0.006964,               0.006964
                     94,                0.72196,                0.45845,                 0.8125,                0.92539,                0.74386,                0.84202,                0.69485,                0.54201,                0.36227,                0.80992,               0.006931,               0.006931,               0.006931
                     95,                0.71779,                0.45941,                0.81395,                0.92442,                0.74555,                0.84565,                0.70034,                0.54431,                0.36478,                0.81013,               0.006898,               0.006898,               0.006898
                     96,                0.71619,                0.45918,                0.81119,                0.91889,                0.74978,                0.84749,                0.70114,                0.54583,                0.36421,                0.81019,               0.006865,               0.006865,               0.006865
                     97,                0.71364,                0.45721,                0.81233,                0.92558,                0.74444,                0.84744,                  0.703,                0.54191,                0.35994,                0.80994,               0.006832,               0.006832,               0.006832
                     98,                0.70661,                0.45135,                0.81038,                0.92236,                0.74708,                0.84701,                0.70448,                0.53984,                0.35905,                0.80955,               0.006799,               0.006799,               0.006799
                     99,                0.70669,                0.45491,                0.81144,                 0.9223,                0.75002,                0.84748,                0.70692,                0.53002,                0.35482,                0.80897,               0.006766,               0.006766,               0.006766
                    100,                0.70956,                0.45446,                0.81107,                0.92168,                0.74844,                0.84613,                 0.7064,                0.53591,                0.35641,                0.80971,               0.006733,               0.006733,               0.006733
                    101,                 0.7092,                0.45338,                0.81047,                0.92516,                0.74952,                0.84529,                0.70494,                0.53195,                0.35518,                0.80967,                 0.0067,                 0.0067,                 0.0067
                    102,                0.70105,                0.45189,                 0.8113,                0.91727,                0.75166,                 0.8443,                0.70385,                0.53971,                0.35815,                0.81006,               0.006667,               0.006667,               0.006667
                    103,                0.70484,                0.45056,                0.80978,                0.92956,                0.74465,                 0.8464,                0.70502,                0.53481,                0.35627,                 0.8089,               0.006634,               0.006634,               0.006634
                    104,                0.70147,                0.44891,                0.81021,                0.92818,                0.74508,                 0.8468,                0.70832,                 0.5321,                 0.3537,                0.80954,               0.006601,               0.006601,               0.006601
                    105,                0.69804,                0.44709,                0.80856,                0.92699,                 0.7454,                0.84415,                0.70601,                0.53056,                0.35363,                0.80953,               0.006568,               0.006568,               0.006568
                    106,                0.69579,                0.44768,                 0.8101,                0.92277,                0.74826,                0.84468,                0.70363,                0.52988,                0.35291,                 0.8093,               0.006535,               0.006535,               0.006535
                    107,                0.69411,                0.44389,                0.80915,                0.92954,                0.74339,                0.84494,                0.70574,                0.52126,                0.35057,                0.80808,               0.006502,               0.006502,               0.006502
