                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.78583,                0.52668,                 0.8269,                0.89643,                0.77955,                0.84151,                0.66416,                0.61003,                0.41322,                0.82794,              0.0055945,              0.0055945,              0.0055945
                     91,                0.77644,                0.52395,                0.82487,                0.89876,                0.77474,                0.84064,                 0.6666,                0.60662,                0.41049,                0.82651,               0.005545,               0.005545,               0.005545
                     92,                0.78061,                0.52487,                 0.8261,                0.89743,                 0.7744,                0.84132,                 0.6664,                0.60124,                0.40733,                0.82592,              0.0054955,              0.0054955,              0.0054955
                     93,                0.77737,                0.52625,                0.82472,                0.90064,                0.77774,                0.84269,                0.66675,                0.59845,                 0.4033,                0.82604,               0.005446,               0.005446,               0.005446
                     94,                0.78298,                0.52544,                0.82463,                0.89376,                0.78097,                0.84105,                 0.6666,                0.60561,                0.40542,                0.82474,              0.0053965,              0.0053965,              0.0053965
                     95,                 0.7709,                 0.5211,                0.82375,                0.89472,                0.77752,                0.84238,                0.66827,                  0.591,                0.40087,                0.82394,               0.005347,               0.005347,               0.005347
                     96,                0.76764,                0.51973,                0.82436,                0.90257,                0.77429,                0.84191,                0.66327,                0.59328,                0.39976,                0.82364,              0.0052975,              0.0052975,              0.0052975
                     97,                0.76399,                0.51571,                0.82398,                0.90378,                0.77591,                0.84365,                0.66838,                0.59384,                0.40109,                0.82411,               0.005248,               0.005248,               0.005248
                     98,                0.77112,                0.51897,                0.82266,                0.90186,                0.77105,                0.84162,                0.66882,                 0.5955,                0.40188,                0.82438,              0.0051985,              0.0051985,              0.0051985
                     99,                 0.7642,                0.51349,                0.82232,                0.90564,                0.77272,                 0.8416,                0.67191,                 0.5891,                0.39838,                0.82358,               0.005149,               0.005149,               0.005149
                    100,                0.76454,                0.51501,                0.82298,                0.90458,                0.77198,                0.84233,                0.67419,                0.58676,                0.39876,                0.82333,              0.0050995,              0.0050995,              0.0050995
                    101,                0.76216,                0.51559,                0.82354,                0.90181,                0.77525,                0.84372,                0.67491,                0.58805,                0.39884,                0.82215,                0.00505,                0.00505,                0.00505
                    102,                0.75671,                0.51313,                0.82222,                0.90745,                 0.7727,                 0.8442,                0.67205,                0.58819,                 0.3983,                0.82274,              0.0050005,              0.0050005,              0.0050005
                    103,                0.75505,                0.50969,                0.82116,                0.90805,                0.77311,                0.84552,                0.67713,                0.58622,                0.39715,                0.82238,               0.004951,               0.004951,               0.004951
                    104,                0.75133,                0.50743,                0.82209,                0.90729,                0.77619,                0.84671,                0.67854,                0.58606,                0.39525,                0.82175,              0.0049015,              0.0049015,              0.0049015
                    105,                0.75548,                0.50909,                0.81968,                0.90801,                0.77619,                 0.8455,                 0.6743,                 0.5828,                0.39371,                0.82178,               0.004852,               0.004852,               0.004852
                    106,                0.74761,                 0.5053,                0.82154,                 0.9143,                0.76822,                0.84561,                0.67587,                0.58247,                0.39324,                 0.8217,              0.0048025,              0.0048025,              0.0048025
                    107,                0.74503,                0.50521,                0.81962,                0.90196,                0.77734,                0.84541,                0.68119,                0.58096,                0.39278,                0.82177,               0.004753,               0.004753,               0.004753
